"Date","Chrome","Safari","UC Browser","Samsung Internet","Opera","Android","IEMobile","Firefox","KaiOS","QQ Browser","BlackBerry","Puffin","Edge Legacy","Nokia","Yandex Browser","Unknown","NetFront","Whale Browser","Tizen","mCent","SonyEricsson","Dolfin","MeeGo","Baidu Browser","Sony PSP Vita","Other"
2019-07,59.66,20.06,6.62,7.35,2.85,1.15,0.14,0.33,0.81,0.41,0.03,0.23,0.05,0.02,0.1,0.03,0.01,0.11,0,0.03,0,0,0,0,0,0.01
2019-08,60.86,20.25,6.35,6.77,2.97,0.75,0.14,0.34,0.59,0.36,0.03,0.23,0.05,0.01,0.1,0.03,0,0.13,0,0.02,0,0,0,0,0,0.01
2019-09,62.03,20.55,5.76,6.45,2.72,0.58,0.12,0.35,0.38,0.43,0.02,0.23,0.04,0.01,0.09,0.03,0.01,0.13,0,0.02,0,0,0,0,0,0.01
2019-10,63.8,19.7,5.33,6.27,2.48,0.51,0.11,0.35,0.42,0.46,0.02,0.22,0.04,0.01,0.09,0.03,0.01,0.12,0,0.01,0,0,0,0,0,0.01
2019-11,62.26,21.19,5.4,6.33,2.44,0.46,0.11,0.37,0.49,0.34,0.02,0.23,0.04,0.01,0.12,0.03,0.01,0.13,0,0.01,0,0,0,0,0,0.01
2019-12,61.1,22.88,5.15,6.49,2.2,0.38,0.09,0.41,0.35,0.36,0.02,0.23,0.03,0.01,0.1,0.03,0,0.13,0,0.01,0,0,0,0,0,0.01
2020-01,61.77,22.84,4.79,6.4,2.14,0.4,0.09,0.4,0.21,0.37,0.02,0.25,0.03,0.01,0.1,0.03,0.01,0.12,0,0.01,0,0,0,0,0,0.01
2020-02,61.96,23.83,3.97,6.35,1.62,0.48,0.09,0.41,0.23,0.45,0.01,0.23,0.08,0.01,0.1,0.03,0,0.12,0,0.01,0,0,0,0,0,0.02
2020-03,61.52,24.95,3.64,6.47,1.06,0.52,0.08,0.41,0.32,0.42,0.01,0.22,0.08,0,0.1,0.03,0,0.13,0,0,0,0,0,0,0,0.02
2020-04,60.39,26.56,3.49,6.33,1.29,0.4,0.04,0.4,0.12,0.38,0.01,0.22,0.09,0,0.11,0.03,0,0.11,0,0,0,0,0,0,0,0.02
2020-05,61.61,24.45,3.79,6.51,1.55,0.38,0.01,0.43,0.2,0.42,0.01,0.22,0.09,0,0.13,0.03,0,0.12,0,0,0,0,0,0,0,0.01
2020-06,63.42,22.98,3.4,6.55,1.6,0.35,0.01,0.47,0.13,0.4,0.01,0.23,0.1,0,0.15,0.04,0,0.13,0,0,0,0,0,0,0,0.01
2020-07,64.11,22.58,2.75,6.75,1.79,0.33,0.01,0.48,0.1,0.41,0.01,0.26,0.1,0,0.14,0.03,0,0.12,0,0,0,0,0,0,0,0.01
2020-08,64.05,22.86,2.51,6.77,1.89,0.26,0.01,0.49,0.08,0.4,0.01,0.22,0.1,0,0.13,0.06,0,0.14,0,0,0,0,0,0,0,0.02
2020-09,64.65,22.69,2.34,6.44,1.91,0.32,0.01,0.47,0.08,0.4,0.01,0.22,0.11,0.01,0.11,0.06,0.01,0.14,0,0,0,0,0,0,0,0.01
2020-10,63.28,24.17,2.37,6.55,1.81,0.26,0.01,0.45,0.07,0.39,0.01,0.21,0.11,0.01,0.11,0.04,0,0.14,0,0,0,0,0,0,0,0.01
2020-11,61.35,25.68,2.46,6.59,1.91,0.26,0.01,0.5,0.13,0.36,0.01,0.2,0.12,0,0.13,0.09,0,0.16,0,0,0,0,0,0,0,0.02
2020-12,62.63,24.55,2.51,6.23,2.09,0.24,0.01,0.51,0.13,0.33,0.01,0.18,0.12,0,0.17,0.06,0,0.2,0,0,0,0,0,0,0,0.02
2021-01,62.43,24.98,2.51,6.3,1.9,0.21,0.01,0.5,0.1,0.33,0.01,0.17,0.12,0,0.16,0.06,0,0.19,0,0,0,0,0,0,0,0.02
2021-02,62.57,24.8,2.7,6.09,1.89,0.23,0.01,0.51,0.14,0.39,0.01,0.16,0.12,0,0.14,0.04,0,0.18,0,0,0,0,0,0,0,0.02
2021-03,63.08,24.76,2.54,5.95,1.85,0.21,0.01,0.49,0.13,0.34,0.01,0.17,0.12,0,0.12,0.03,0.01,0.15,0,0,0,0,0,0,0,0.02
